,0,1
0,-25.058611111111134,-56.41138888888889
1,-24.999899999999997,-57.5
2,-22.499899999999997,-58.75
3,-19.999899999999997,-60.0
4,-18.749899999999997,-60.625
5,-17.499899999999997,-61.25
6,-16.874899999999997,-61.5625
7,-16.249899999999997,-61.875
8,-15.624899999999997,-62.1875
9,-14.999899999999997,-62.5
10,-14.374899999999997,-62.8125
11,-13.749899999999997,-63.125
12,-13.124899999999997,-63.4375
13,-12.499899999999997,-63.75
14,-11.874899999999997,-64.0625
15,-11.249899999999997,-64.375
16,-10.624899999999997,-64.6875
17,-9.999899999999997,-65.0
18,-9.374899999999997,-65.3125
19,-8.749899999999997,-65.625
20,-8.124899999999997,-65.9375
21,-7.499899999999997,-65.9375
22,-6.874899999999997,-65.9375
23,-6.249899999999997,-65.9375
24,-5.624899999999997,-65.9375
25,-4.999899999999997,-65.9375
26,-4.374899999999997,-65.9375
27,-3.7498999999999967,-65.9375
28,-2.8274999999999864,-66.08277777777778
